#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-5.763	-137.30501411009837	-130.07556831860643	-138.7424677904274	-131.52643587581488
-5.75	-136.93605752421254	-129.7196117327206	-138.3735112045416	-131.17047928992906
-5.737	-136.56710093832672	-129.36365514683476	-138.00455461865573	-130.81452270404324
-5.724	-136.19814435244086	-129.00769856094888	-137.6355980327699	-130.45856611815736
-5.711	-135.829187766555	-128.65174197506303	-137.26664144688402	-130.10260953227152
-5.698	-135.46023118066915	-128.29578538917724	-136.8976848609982	-129.7466529463857
-5.685	-135.09127459478333	-127.93982880329139	-136.52872827511237	-129.3906963604999
-5.672	-134.72231800889747	-127.58387221740551	-136.15977168922657	-129.03473977461408
-5.659	-134.35336142301162	-127.22791563151968	-135.79081510334066	-128.67878318872812
-5.646	-133.9844048371258	-126.87195904563386	-135.4218585174548	-128.3228266028423
-5.633	-133.61544825123994	-126.51600245974801	-135.05290193156898	-127.96687001695646
-5.62	-133.2464916653541	-126.16004587386216	-134.68394534568313	-127.61091343107061
-5.607	-132.87753507946826	-125.80408928797631	-134.31498875979727	-127.2549568451848
-5.594	-132.50857849358243	-125.44813270209049	-133.94603217391148	-126.89900025929894
-5.581	-132.1396219076966	-125.09217611620467	-133.57707558802562	-126.54304367341314
-5.568	-131.77066532181078	-124.73621953031879	-133.2081190021398	-126.18708708752732
-5.555	-131.4017087359249	-124.38026294443296	-132.83916241625394	-125.8311305016414
-5.542	-131.03275215003904	-124.02430635854711	-132.4702058303681	-125.47517391575558
-5.529	-130.6637955641532	-123.66834977266126	-132.10124924448223	-125.11921732986973
-5.516	-130.29483897826736	-123.31239318677544	-131.7322926585964	-124.7632607439839
-5.503	-129.92588239238154	-122.95643660088956	-131.36333607271058	-124.40730415809807
-5.49	-129.55692580649566	-122.60048001500374	-130.99437948682473	-124.05134757221222
-5.477	-129.18796922060986	-122.24452342911792	-130.6254229009389	-123.69539098632637
-5.464	-128.81901263472403	-121.88856684323207	-130.25646631505305	-123.33943440044055
-5.451	-128.4500560488382	-121.53261025734622	-129.88750972916725	-122.98347781455473
-5.438	-128.08109946295232	-121.17665367146036	-129.51855314328137	-122.62752122866883
-5.425	-127.71214287706646	-120.82069708557454	-129.1495965573955	-122.27156464278299
-5.412	-127.34318629118063	-120.46474049968869	-128.7806399715097	-121.91560805689717
-5.399	-126.9742297052948	-120.10878391380284	-128.41168338562383	-121.55965147101132
-5.386	-126.60527311940896	-119.75282732791702	-128.04272679973798	-121.2036948851255
-5.373	-126.23631653352311	-119.39687074203117	-127.67377021385215	-120.84773829923965
-5.36	-125.86735994763728	-119.04091415614532	-127.30481362796633	-120.49178171335377
-5.347	-125.49840336175143	-118.68495757025946	-126.93585704208047	-120.13582512746795
-5.334	-125.12944677586557	-118.32900098437361	-126.56690045619462	-119.7798685415821
-5.321	-124.76049018997975	-117.97304439848779	-126.19794387030879	-119.42391195569627
-5.308	-124.3915336040939	-117.61708781260194	-125.82898728442294	-119.06795536981042
-5.295	-124.02257701820805	-117.26113122671612	-125.4600306985371	-118.7119987839246
-5.282	-123.65362043232223	-116.90517464083027	-125.09107411265127	-118.35604219803875
-5.269	-123.28466384643637	-116.54921805494442	-124.72211752676542	-118.0000856121529
-5.256	-122.91570726055055	-116.19326146905858	-124.35316094087958	-117.64412902626705
-5.243	-122.54675067466468	-115.83730488317276	-123.98420435499372	-117.2881724403812
-5.23	-122.17779408877885	-115.48134829728689	-123.61524776910787	-116.93221585449538
-5.217	-121.808837502893	-115.12539171140104	-123.24629118322204	-116.57625926860952
-5.204	-121.43988091700714	-114.76943512551522	-122.87733459733619	-116.22030268272367
-5.191	-121.07092433112132	-114.41347853962937	-122.50837801145036	-115.86434609683785
-5.178	-120.70196774523546	-114.05752195374352	-122.13942142556452	-115.508389510952
-5.165	-120.33301115934962	-113.7015653678577	-121.77046483967867	-115.15243292506615
-5.152	-119.9640545734638	-113.34560878197186	-121.40150825379284	-114.7964763391803
-5.139	-119.59509798757794	-112.98965219608601	-121.03255166790699	-114.44051975329447
-5.126	-119.22614140169212	-112.63369561020016	-120.66359508202116	-114.08456316740862
-5.113	-118.85718481580626	-112.27773902431429	-120.29463849613528	-113.7286065815228
-5.1	-118.48822822992041	-111.9217824384285	-119.92568191024947	-113.37264999563698
